Entity,Code,Year,Total Population,Continent,GDP per capita (current US$),Food expenditure per person (US$)
India,IND,2015,1310151936,Asia,1606.038285,315
Uzbekistan,UZB,2015,30930000,Asia,2137.576852,380
Cameroon,CMR,2015,23298000,Africa,1353.92449,426
Pakistan,PAK,2015,199427008,Asia,1428.637628,458
Vietnam,VNM,2015,92677000,Asia,2065.169099,460
Ukraine,UKR,2015,44922000,Europe,2124.662666,513
Iran,IRN,2015,78492000,Asia,4862.299729,541
Kenya,KEN,2015,47878000,Africa,1355.045788,543
Bolivia,BOL,2015,10870000,South America,3077.026199,606
Indonesia,IDN,2015,258383008,Asia,3334.549075,629
Tunisia,TUN,2015,11180000,Africa,3828.100633,643
Colombia,COL,2015,47521000,South America,6044.525556,650
South Africa,ZAF,2015,55386000,Africa,5746.681127,673
Morocco,MAR,2015,34664000,Africa,2864.092915,719
Algeria,DZA,2015,39728000,Africa,4160.220067,724
China,CHN,2015,1406848000,Asia,8069.213024,750
Bulgaria,BGR,2015,7200000,Europe,6993.475544,813
Brazil,BRA,2015,204472000,South America,8750.222996,815
Georgia,GEO,2015,4024000,Asia,3764.640912,841
Thailand,THA,2015,68715000,Asia,5846.394608,862
Ecuador,ECU,2015,16212000,South America,6150.155955,869
Philippines,PHL,2015,102113000,Asia,2878.33837,894
Serbia,SRB,2015,8877000,Europe,5237.255334,932
Belarus,BLR,2015,9439000,Europe,5949.106307,1050
Bosnia and Herzegovina,BIH,2015,3429000,Europe,4584.242548,1063
North Macedonia,MKD,2015,2079000,Europe,4834.136723,1064
Egypt,EGY,2015,92443000,Africa,3547.713012,1075
Malaysia,MYS,2015,30271000,Asia,9648.553455,1122
Nigeria,NGA,2015,181136992,Africa,2655.157977,1132
Hungary,HUN,2015,9778000,Europe,12483.86594,1152
Montenegro,MNE,2015,627000,Europe,6514.272695,1171
Dominican Republic,DOM,2015,10282000,North America,6534.908555,1173
Poland,POL,2015,38034000,Europe,12566.48344,1188
Azerbaijan,AZE,2015,9623000,Asia,5500.310382,1210
Chile,CHL,2015,17969000,South America,13736.63569,1293
Russia,RUS,2015,144984992,Europe,9346.61636,1319
Singapore,SGP,2015,5592000,Asia,54940.85814,1336
Czechia,CZE,2015,10601000,Europe,17715.61685,1340
Guatemala,GTM,2015,16252000,North America,3923.573344,1370
Turkmenistan,TKM,2015,5565000,Asia,6432.668768,1414
Mexico,MEX,2015,121858000,North America,9290.760629,1421
Peru,PER,2015,30471000,South America,6053.112415,1432
Turkey,TUR,2015,78529000,Asia,10984.8052,1440
Bahrain,BHR,2015,1372000,Asia,22688.87824,1477
Romania,ROU,2015,19925000,Europe,8978.389254,1486
Costa Rica,CRI,2015,4848000,North America,11393.02395,1504
Qatar,QAT,2015,2566000,Asia,66346.52267,1516
Kuwait,KWT,2015,3836000,Asia,29109.06874,1538
Slovakia,SVK,2015,5436000,Europe,16132.86031,1545
South Korea,KOR,2015,50823000,Asia,27105.07623,1640
Latvia,LVA,2015,1998000,Europe,13639.69412,1663
Slovenia,SVN,2015,2071000,Europe,20873.16111,1675
Argentina,ARG,2015,43075000,South America,13698.29344,1737
Jordan,JOR,2015,9267000,Asia,4096.099275,1899
Estonia,EST,2015,1315000,Europe,17155.87418,1917
Ireland,IRL,2015,4652000,Europe,61807.67037,1945
Saudi Arabia,SAU,2015,31718000,Asia,20732.86172,1954
Spain,ESP,2015,46672000,Europe,25789.51955,2002
Uruguay,URY,2015,3412000,South America,15524.84247,2033
Lithuania,LTU,2015,2932000,Europe,14289.12057,2090
Canada,CAN,2015,36027000,North America,43525.37019,2168
Germany,DEU,2015,81787000,Europe,41323.9215,2179
United Kingdom,GBR,2015,65860000,Europe,44305.55463,2217
Greece,GRC,2015,10660000,Europe,18070.77678,2244
Portugal,PRT,2015,10368000,Europe,19252.63495,2251
Netherlands,NLD,2015,16938000,Europe,44746.33405,2255
Austria,AUT,2015,8679000,Europe,44206.78428,2322
Kazakhstan,KAZ,2015,17572000,Asia,10510.77189,2329
United States,USA,2015,320878016,North America,56443.81724,2392
Croatia,HRV,2015,4233000,Europe,11757.89004,2421
Belgium,BEL,2015,11288000,Europe,40361.15419,2532
Japan,JPN,2015,127985000,Asia,34567.74568,2631
Italy,ITA,2015,60578000,Europe,30180.32151,2646
France,FRA,2015,64453000,Europe,36613.37522,2647
Denmark,DNK,2015,5689000,Europe,53012.99658,2719
Sweden,SWE,2015,9765000,Europe,50812.19086,2784
Finland,FIN,2015,5481000,Europe,42424.22081,2848
Israel,ISR,2015,7978000,Asia,35690.96308,2882
